"wave","stage","research_question","input_representation","graph_topology","encoder","decoder_or_scoring","run_design","batching","main_result","decision_next_step","status"
"0","Pipeline definition","Czy leakage-safe pipeline v3 jest gotowy?","Empirical node vector: train mean/std/missing; bez oracle","G_true rozdzielony na G_train i ukryte valid/test; negatives 3:1","Jeszcze nie zamrożony","Link score dla pary source-target","Brak osobnych runów Wave 0","Nie dotyczy","Brak osobnej metryki","Uruchomić formalną BAZĘ Wave 1","conceptual_only"
"1","BAZA depth","Jaka głębokość SAGE/R-GCN?","Empirical 3D per node","Pozytywne train edges + reverse","HeteroSAGE L1-4; R-GCN L1-4","q_st -> MLP -> logit","2 modele × 4 głębokości na clean; część macierzy 48 runów","Full-batch: 1/epokę","SAGE L2 0.692; R-GCN L1 0.615 valid AUPRC","Freeze SAGE L2 i R-GCN L1","done"
"1","BAZA scenarios","Czy 6 scenariuszy destabilizuje baseline?","Empirical per scenario, train-only","Identyczne kandydaty/G_train między scenariuszami","Frozen SAGE L2; R-GCN L1","q_st -> MLP","6 scenariuszy × 2 modele × frozen depth; całość BAZA 48 runów","Full-batch","SAGE |Δ|≤0.002; R-GCN |Δ|≤0.009","Scenariusze stabilne; przejść do ablacjach","done"
"1","Feature ablation","Czy empirical wnosi sygnał ponad topologię/shuffle?","empirical vs topology_only vs empirical_shuffled","Stała topologia i kandydaci","SAGE L2; R-GCN L1","Frozen arch decoder","6 diagnostic + 30 multi-seed runów","Full-batch","SAGE emp-topo +0.031±0.023; R-GCN +0.053±0.058","Cechy są użyteczne; wykonać frozen audit","done"
"1","E1 frozen feature ablation","Czy wytrenowany model faktycznie używa cech?","Train empirical; eval empirical/topology/shuffle bez retrainu","Bez zmian","SAGE L2; R-GCN L1","Bez zmian","2 modele × 5 seedów; frozen interventions","Full-batch przy treningu; eval-only potem","SAGE +0.22±0.11; R-GCN +0.26±0.09 vs topology; 5/5 wins","Potwierdzono użycie cech","done"
"1","E2 node-type permutation","Które typy węzłów niosą sygnał?","Permutacja empirical per node type","Bez zmian","Reuse E1 checkpoints","Bez zmian","Frozen eval per typ","Eval-only","Najważniejsze mechanism +0.086; patient_context +0.061","Skupić HCR na zależnościach klinicznych","done"
"1","E3 per edge type","Na których relacjach cechy pomagają?","Empirical/topology/shuffle","Wspólna pula negatywów","Reuse checkpoints","Bez zmian","Frozen subgroup eval","Eval-only","drug_to_burden AUPRC 0.719 i Δ+0.441","Sygnał skoncentrowany na burden/risk","done"
"1","E4 relation ablation","Które relacje message passingu są krytyczne?","Empirical","Full graph vs usunięte relacje","SAGE L2","q_st -> MLP","6 interwencji × 5 seedów = 30 runów","Full-batch","Full 0.640; remove drug_to_burden −0.025; amplify −0.022; load −0.019","Topologia wnosi niezależny sygnał","done"
"2","Architecture screening","Czy attention bije matched SAGE?","Empirical; bez HCR","G_train frozen","HGT; GATv2; matched SAGE","Matched link decoder","3 modele × 3 seedy = 9","Full-batch","HGT 0.636 > GATv2 0.586 > SAGE 0.567 valid","Promować HGT","done"
"2","Depth","Jaka głębokość HGT/SAGE?","Empirical","G_train frozen","HGT i SAGE L1-3","Matched decoder","2×3×3 = 18","Full-batch","HGT L1 0.645 > L2 0.634 > L3 0.618","Freeze L1","done"
"2","Heads","Ile głów HGT?","Empirical","G_train frozen","HGT L1 H2/H4/H8","Matched decoder","3 heads × 3 seedy = 9","Full-batch","H8 0.668 > H4 0.657 > H2 0.638","Sprawdzić boundary H16","done"
"2","Heads boundary","Czy H16 bije H8?","Empirical","G_train frozen","HGT L1 H16 vs H8 reference","Matched decoder","H16 × 5 seedów, paired z H8","Full-batch","ΔH16-H8 −0.0056","Freeze H8","done"
"2","Final architecture","Czy HGT wygrywa multi-seed?","Empirical; bez HCR","G_train frozen","HGT L1H8W64 vs SAGE L1","Matched decoder","2 modele × 5 seedów = 10","Full-batch","HGT 0.6550±0.0057 vs SAGE 0.6053±0.0213","Freeze HGT L1H8; dodać HCR","done"
"3","HCR stage 1","Który binary HCR działa najlepiej?","8D compact/classical/minimal","HGT frozen architecture","HGT L1H8W64","q_st ⊕ HCR -> MLP","3 warianty × 3 seedy","Full-batch","binary_compact valid 0.7418","Promować binary_compact","done"
"3","HCR stage 2","Czy compact jest stabilny?","binary_compact 8D","G_train frozen","HGT L1H8W64","HCR decoder","5 paired seedów vs HCR-0","Full-batch","Δvalid +0.0868±0.0171; 5/5; Δtest +0.1168; Brier −0.0326","Zaakceptować binary_compact","done"
"3","HCR placebo/subsets","Czy gain pochodzi z treści HCR?","all_zero; supported/unsupported","Bez zmian","HGT","HCR decoder","Placebo 3 seedy + subgroup eval","Full-batch/eval-only","compact-zero ≈+0.079; supported +0.240; unsupported +0.006","HCR działa tam, gdzie jest zdefiniowane","done"
"3B","Observed-gate motif","Czy HCR3 odzyskuje ukryte A→G?","HCR2/HCR3; oracle context B","Hide A→G; keep B→G","HGT + motif features","Motif completion scorer","6 wariantów × 3 seedy","Full-batch","HCR3 without a111 0.636 vs none 0.187","Przejść do latent gate bez oracle G","done_with_partial_csv"
"4C","Latent gate","Czy można odzyskać A→G bez wartości G?","AB⊕AY⊕BY 24D i kontrole","Hide A→G","HGT + latent HCR","Motif decoder","6 wariantów × 3 seedy","Full-batch","latent_pairwise 0.679 > none 0.170","Promować latent pairwise","done"
"4D","Context role audit","Jak wybierać Z bez oracle i colliderów?","structural/all/random/shuffled contexts","Context z G_train; role registry tylko do ewaluacji","HGT + structural latent HCR","Motif decoder","6 wariantów × 3 seedy × 2 masks = 36","Full-batch","all-context 0.727; structural 0.516 z precision@1=1 i collider FPR=0","Wybrać structural latent pairwise","done"
"5A","Path energy smoke","Czy HCR zmienia ranking ścieżek?","Frozen edge probabilities HGT/HCR","G*=G_train∪predicted","Brak treningu GNN","FinitePathEnsemble","4 warianty × 5 seedów","Nie dotyczy","Wczesny TPM obciążony unreachable queries","Wykonać common-query audit","done_diagnostic"
"5A.1","Coverage audit","Czy HCR poprawia coverage na wspólnym protokole?","Frozen evidence i shuffles","Common frozen queries","Brak GNN","Path ranking","6 wariantów","Nie dotyczy","Coverage HCR 0.649 vs HGT 0.510; paired TPM bez przewagi","Rozdzielić topologię od energii","done"
"5B","Topology panel T","Czy HCR poprawia G*?","HGT/HCR probabilities","Train/HGT/HCR/shuffle topology","Brak GNN","Reachability/coverage","4 warianty × seedy","Nie dotyczy","Coverage 0.418→0.510→0.649","HCR poprawia topologię","done"
"5B","Energy panel E","Czy energia HCR ma unikalną przewagę?","Edge probabilities i grid T/λ","Stały G*","Brak GNN","Path energy","E0-E5; tune valid, test report","Nie dotyczy","MRR uniform 0.631 > HCR 0.602 > HGT 0.587","Freeze T=.5, λL=.1, λU=0; result B","done"
"5C","Patient activation","Czy pacjent zmienia energie przy stałym G*?","drug_exposure + patient_context aktywności","Stały HCR-selected G*","Brak GNN","Patient-conditioned path energy","C0-C7 × 5 seedów","Nie dotyczy","Structural gate ΔHEM 0.473, consistency 1.0","Potwierdzono personalizację; gate=2","done"
"5D","Path-supported link prediction","Czy path support poprawia edge AUPRC?","Structural HCR 24D + path support","Leave-one-candidate-out G_train/G*","Lekki edge MLP","L0-L10 scorer","11 wariantów × 5 seedów","Minibatch 256 edges; 25 epochs","L2 0.734±0.012 > L4 0.725±0.010 > HGT 0.569 test","Edge=L2; WNERW tylko reranker","done"
"5E","Scenario validation","Czy L2/path support generalizuje na scenariusze?","Planowane","Planowane","Planowane","Planowane","Brak runów","Brak","Brak","Odroczone","not_run"
"6","Mixed-type HCR features","Czy mixed binary/count/continuous features są gotowe?","Legendre degree4; binary compact i mixed HCR","Context registry","Brak treningu GNN","Feature extraction","229 motifs; 687 pair rows","Nie dotyczy","560 binary + 127 mixed pairs","Przejść do L2 architecture audit i GHCR","done"
"6→7","L2 architecture audit","Jaki HGT+decoder poprawia L2?","Structural HCR 24D","G_train","Grid HGT depth/heads/width/activation","Decoder width grid","Stage0 ×5; Stage1 21×3; Stage2 plan 16×5; final freeze","Full-batch; up to 300 epochs","Frozen L3H8W32 leaky; valid 0.808, test 0.772","Użyć jako backbone Wave7","done_final_freeze"
"7","GHCR V0/V1/V2","Czy all-types GHCR bije legacy compact?","24D motif; binary/count/continuous","G_train","HGT L3H8W32","HCR MLP [256,128]","3 variants × 1 seed clean","Full-batch; 300 epochs","V2 valid 0.768; V0 test 0.822","Zbadać missing compact stats w Panel B","done"
